SoortMisdrijf,RegioS,Perioden,Unnamed: 0,ID,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenRelatief_2,GeregistreerdeMisdrijvenPer1000Inw_3,TotaalOpgehelderdeMisdrijven_4,OpgehelderdeMisdrijvenRelatief_5,RegistratiesVanVerdachten_6
Bedrog,Groningen (PV),2017,140476,140476,2770.0,11.0,4.6,170.0,44.8,190.0
Bedrog,Groningen (PV),2018,140480,140480,2820.0,12.0,4.699999999999999,105.0,21.3,170.0
Bedrog,Groningen (PV),2019,140484,140484,3710.0,14.0,6.300000000000001,175.0,37.1,260.0
Bedrog,Groningen (PV),2020,140488,140488,4215.0,18.0,7.1,70.0,9.6,175.0
Bedrog,Limburg (PV),2010,140932,140932,3915.0,4.0,3.4,1395.0,173.9,1680.0
Bedrog,Limburg (PV),2011,140936,140936,3330.0,4.0,2.9,905.0,155.89999999999998,1010.0
Bedrog,Limburg (PV),2012,140940,140940,3480.0,4.0,3.0,850.0,146.5,990.0
Bedrog,Limburg (PV),2013,140944,140944,2765.0,4.0,2.4,780.0,164.3,900.0
Bedrog,Limburg (PV),2014,140948,140948,2375.0,4.0,2.1,690.0,164.0,830.0
Bedrog,Limburg (PV),2015,140952,140952,4450.0,6.0,4.0,330.0,94.6,400.0
Bedrog,Limburg (PV),2016,140956,140956,5550.0,8.0,4.8999999999999995,215.0,36.0,295.0
Bedrog,Limburg (PV),2017,140960,140960,4600.0,8.0,4.1,220.0,34.8,280.0
Bedrog,Limburg (PV),2018,140964,140964,4990.0,10.0,4.4,180.0,31.4,255.0
Bedrog,Limburg (PV),2019,140968,140968,6590.0,12.0,6.0,200.0,34.300000000000004,245.0
Bedrog,Limburg (PV),2020,140972,140972,7755.0,15.0,7.0,165.0,19.1,350.0
Bedrog,Niet in te delen (PV),2010,140976,140976,760.0,32.0,0.0,220.0,155.9,270.0
Bedrog,Niet in te delen (PV),2011,140980,140980,535.0,26.0,0.0,110.0,41.3,110.0
Bedrog,Niet in te delen (PV),2012,140984,140984,410.0,24.0,0.0,85.0,42.9,100.0
Bedrog,Niet in te delen (PV),2013,140988,140988,290.0,21.0,0.0,100.0,71.6,120.0
Bedrog,Niet in te delen (PV),2014,140992,140992,290.0,20.0,0.0,90.0,63.9,110.0
Bedrog,Niet in te delen (PV),2015,140996,140996,220.0,14.0,0.0,40.0,93.6,50.0
Bedrog,Niet in te delen (PV),2016,141000,141000,100.0,8.0,0.0,30.0,86.4,40.0
Bedrog,Niet in te delen (PV),2017,141004,141004,130.0,8.0,0.0,55.0,141.6,70.0
Bedrog,Niet in te delen (PV),2018,141008,141008,70.0,4.0,0.0,10.0,44.400000000000006,30.0
Bedrog,Niet in te delen (PV),2019,141012,141012,50.0,2.0,0.0,30.0,110.7,30.0
Bedrog,Niet in te delen (PV),2020,141016,141016,20.0,2.0,0.0,0.0,0.0,10.0
Bedrog,Noord-Brabant (PV),2010,140888,140888,6980.0,4.0,2.8,2225.0,148.1,2575.0
Bedrog,Noord-Brabant (PV),2011,140892,140892,6340.0,4.0,2.6,1510.0,147.8,1890.0
Bedrog,Noord-Brabant (PV),2012,140896,140896,7040.0,4.0,2.8,1435.0,142.3,1670.0
Bedrog,Noord-Brabant (PV),2013,140900,140900,5790.0,4.0,2.3,1400.0,141.10000000000002,1720.0
Bedrog,Noord-Brabant (PV),2014,140904,140904,5180.0,4.0,2.0,1320.0,138.5,1740.0
Bedrog,Noord-Brabant (PV),2015,140908,140908,10270.0,7.0,4.199999999999999,680.0,87.4,895.0
Bedrog,Noord-Brabant (PV),2016,140912,140912,12810.0,9.0,5.2,475.0,31.5,610.0
Bedrog,Noord-Brabant (PV),2017,140916,140916,10705.0,9.0,4.199999999999999,455.0,34.3,570.0
