Totaal vermogen (miljard euro),Gemiddeld vermogen (1000 euro),Mediaan vermogen (1000 euro),gemeentenaam,politiebureaus,Misdrijven_Totaal
7.471858379715522,185.49,80.38781818181818,'s-Gravenhage,32,45992.27272727273
2.5595391288043263,186.8,92.96418181818181,'s-Hertogenbosch,14,11213.636363636364
0.5939956303772876,208.87,130.4277752009895,Aa en Hunze,12,710.0
0.9206253679253216,284.14,129.3812384044527,Aalsmeer,30,1224.090909090909
0.5528829576991001,229.09,121.702195423624,Aalten,6,651.8181818181819
0.4018093165699549,174.25,109.62029220779222,Achtkarspelen,6,763.1818181818181
0.31202364339095656,203.18,96.27857027724049,Alblasserdam,28,754.5454545454545
0.5385354469767051,237.88,112.15702533914919,Albrandswaard,31,1093.1818181818182
1.4782558750773036,159.72,90.08371057513915,Alkmaar,17,7304.090909090909
0.7730236319852416,163.61,81.75692393320965,Almelo,14,4362.272727272727
1.4358824848667917,138.12,76.94309090909091,Almere,25,12329.545454545454
1.9128763141620284,192.91,103.41636363636363,Alphen aan den Rijn,26,4315.0
0.44169986517547494,347.15,222.15536954915004,Alphen-Chaam,7,393.6363636363636
1.2527104797431545,237.24,131.48096397649968,Altena,24,1675.0
0.12695418663333102,230.91,159.43463967405143,Ameland,4,141.8181818181818
2.35780747772997,187.31,91.59,Amersfoort,21,9095.454545454546
2.4357020980539215,254.79,111.60163636363637,Amstelveen,29,4501.818181818182
14.814285714285715,218.7,81.44218181818182,Amsterdam,43,92041.36363636363
2.688066790352505,197.02,98.76327272727272,Apeldoorn,36,9395.90909090909
1.473592300556586,147.67,75.07363636363635,Arnhem,28,13415.0
0.7660568593007803,160.46,85.51454545454546,Assen,6,4132.272727272727
0.48307543520309476,260.25,155.4168771957526,Asten,6,783.6363636363636
0.2724360556003688,304.09,184.6895380390077,Baarle-Nassau,2,276.3636363636364
0.8654432071960034,300.75,132.25486453769128,Baarn,19,1304.5454545454545
0.9013703305306648,216.42,108.16911332714903,Barendrecht,33,2125.0
1.4161829004329005,263.87,139.6266161100804,Barneveld,25,2167.2727272727275
0.2979333576280847,188.79,118.04312943262411,Beek,14,1040.0
0.6615221088435373,183.06,118.81950757575758,Beekdaelen,16,1147.5
0.37406892811549136,315.6,182.33599235721908,Beemster,16,325.45454545454544
0.23960857879263042,165.89,88.69492604117026,Beesel,5,495.90909090909093
0.7415772773802707,220.82,115.0483849721707,Berg en Dal,17,1096.0
0.6028367042300901,275.22,182.33721266784403,Bergeijk,11,700.9090909090909
0.26019144009262585,212.58,131.15089974677394,Bergen (L),4,452.27272727272725
1.5558375732346592,367.21,175.74112110027764,Bergen (NH),8,1205.4545454545455
0.9611911834366242,164.11,95.1424823747681,Bergen op Zoom,2,4157.727272727273
0.9278411558046816,208.3,130.05560064935065,Berkelland,11,1295.4545454545455
0.8612866616666008,262.34,162.82037666614033,Bernheze,9,1100.909090909091
0.6652203482940565,227.3,131.78530844155844,Best,12,1439.5454545454545
0.490268994767475,207.59,116.29192152199371,Beuningen,11,1027.7272727272727
0.5058603853197153,185.97,85.88144712430426,Beverwijk,14,2607.7272727272725
0.5714914131645273,253.64,167.63421320045973,Bladel,9,799.5454545454545
1.2514930955733048,784.81,206.9719708947179,Blaricum,16,469.09090909090907
2.342878609490753,662.6,250.43273746951473,Bloemendaal,18,1215.909090909091
1.1571941664564236,306.18,144.92208992881487,Bodegraven-Reeuwijk,15,1442.5
0.333248029722273,288.89,188.5597354447749,Boekel,5,297.27272727272725
0.4572936814958091,191.59,109.31827844774274,Borger-Odoorn,6,685.4545454545455
0.3907079095338974,204.42,111.33158141883446,Borne,12,675.9090909090909
0.5639685476410731,242.96,132.23982371478573,Borsele,4,528.1818181818181
0.7096822820037105,235.12,144.78125,Boxmeer,5,1118.1818181818182
0.6844740366016961,213.99,124.80686456400741,Boxtel,14,1505.909090909091
3.3605751391465675,197.29,98.93381818181818,Breda,5,13840.0
0.344156539960194,213.59,108.51220698627613,Brielle,11,782.2727272727273
1.200883361270158,269.21,156.61005514875197,Bronckhorst,20,891.3636363636364
0.4747716038311717,220.21,119.20562819905525,Brummen,28,798.6363636363636
0.2459130366825262,97.99,56.47703497743392,Brunssum,15,1693.6363636363637
0.48014307994587196,256.53,167.172053513862,Bunnik,18,656.8181818181819
0.5127724972795824,271.12,142.29640151515153,Bunschoten,15,667.7272727272727
0.7296536796536796,261.47,147.33381894827565,Buren,21,793.6363636363636
0.8414945483732442,163.13,83.35472727272727,Capelle aan den IJssel,26,3716.3636363636365
1.1688969442181656,286.0,154.85529965854815,Castricum,14,1397.7272727272727
0.6380913729128015,191.32,111.29875927643785,Coevorden,7,1560.0
0.5332096403442379,233.43,145.32072453255964,Cranendonck,6,894.5454545454545
0.4363447869330019,198.05,108.02772495361782,Cuijk,7,1093.6363636363637
0.45365905582090993,186.61,101.89198747680892,Culemborg,13,1661.8181818181818
0.7786512367387609,257.61,162.54160331128497,Dalfsen,11,562.7272727272727
0.2966359711826872,184.43,114.5131447453256,Dantumadiel,6,403.1818181818182
1.948638057737602,355.55,152.4342263450835,De Bilt,25,1882.7272727272727
1.045191713048856,205.72,119.08701298701298,De Fryske Marren,10,1446.0
1.6025184541901867,319.85,146.43088280766852,De Ronde Venen,30,1707.7272727272727
0.6487768815512638,241.53,155.22160119598254,De Wolden,9,539.0909090909091
1.3586592981486598,177.59,81.4809090909091,Delft,35,6894.545454545455
0.5066596271003566,141.63,79.58772912801484,Den Helder,3,3781.818181818182
0.7898948505901394,236.13,142.0284322820037,Deurne,6,1391.3636363636363
